uf;evento;data_referencia;total_peso
SC;Apreensão de Maconha;01/06/2024;3572,21
SE;Apreensão de Maconha;01/06/2024;105,80
SP;Apreensão de Maconha;01/06/2024;10414,37
TO;Apreensão de Maconha;01/06/2024;24,63
AC;Apreensão de Maconha;01/07/2024;23,00
AL;Apreensão de Maconha;01/07/2024;249,58
AM;Apreensão de Maconha;01/07/2024;3353,05
AP;Apreensão de Maconha;01/07/2024;
BA;Apreensão de Maconha;01/07/2024;120,34
CE;Apreensão de Maconha;01/07/2024;440,89
DF;Apreensão de Maconha;01/07/2024;292,00
ES;Apreensão de Maconha;01/07/2024;17,90
GO;Apreensão de Maconha;01/07/2024;624,09
MA;Apreensão de Maconha;01/07/2024;32,81
MG;Apreensão de Maconha;01/07/2024;
MT;Apreensão de Maconha;01/07/2024;2052,15
PA;Apreensão de Maconha;01/07/2024;287,53
PB;Apreensão de Maconha;01/07/2024;169,90
PE;Apreensão de Maconha;01/07/2024;1031,79
PI;Apreensão de Maconha;01/07/2024;525,17
PR;Apreensão de Maconha;01/07/2024;43935,49
RN;Apreensão de Maconha;01/07/2024;3005,00
RO;Apreensão de Maconha;01/07/2024;55,00
RR;Apreensão de Maconha;01/07/2024;17,08
RS;Apreensão de Maconha;01/07/2024;1741,31
SC;Apreensão de Maconha;01/07/2024;5453,45
SE;Apreensão de Maconha;01/07/2024;71,90
SP;Apreensão de Maconha;01/07/2024;
TO;Apreensão de Maconha;01/07/2024;58,88
